Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Shams Azar Qazvin (C, P)",32,21,7,4,67,24,+43,70,Promotion to 2023–24 Persian Gulf Pro League
2,Esteghlal Khuzestan (P),32,14,15,3,47,21,+26,57,Promotion to 2023–24 Persian Gulf Pro League
3,Saipa,32,15,10,7,30,22,+8,55,
4,Fajr Sepasi Shiraz,32,14,11,7,40,25,+15,53,
5,Kheybar Khorramabad,32,12,16,4,32,16,+16,52,
6,Mes Shahr Babak,32,10,15,7,24,20,+4,45[a],
7,Chadormalou Ardakan,32,11,12,9,32,31,+1,45[a],
8,Van Pars Naghsh-e-Jahan,32,12,9,11,32,29,+3,45[a],
9,Pars Jonoubi Jam,32,11,10,11,26,31,−5,43,
10,Darya Babol,32,8,14,10,26,25,+1,38,
11,Esteghlal Mollasani,32,7,16,9,27,42,−15,37,
12,Khooshe Talaei Saveh,32,8,11,13,26,33,−7,35,
13,Arman Gohar,32,8,9,15,29,45,−16,33,
14,Shahrdari Astara,32,5,15,12,14,27,−13,30,
15,Khalij Fars Mahshahr,32,7,8,17,21,42,−21,29,
16,Shahrdari Hamedan (R),32,6,10,16,16,30,−14,28,Relegation to 2nd Division
17,Chooka Talesh (R),32,4,10,18,29,55,−26,22,Relegation to 2nd Division
18,Omid Vahdat (R),0,0,0,0,0,0,0,0,Relegation to 2023–24 3rd Division 2nd Stage
