Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Sh. Tabriz (C, P)",26,18,8,0,43,11,+32,62,Promotion to 2010–11 Persian Gulf Cup
2,Sanat Naft Abadan F.C. (P),26,13,6,7,38,26,+12,45,Azadegan League 2009–10 Play Off
3,Tarbiat Yazd,26,12,8,6,29,18,+11,44,
4,Sepahan Novin,26,12,5,9,42,31,+11,41,
5,Etka Gorgan,26,9,10,7,21,21,0,37,
6,Sh. Bandar Abbas,26,9,9,8,34,25,+9,36,
7,Mes Rafsanjan,26,8,12,6,30,24,+6,36,
8,Payam Mashhad,26,9,7,10,33,36,−3,34,
9,Sanati Kaveh,26,9,7,10,27,30,−3,34,
10,Iranjavan,26,8,8,10,31,34,−3,32,
11,Damash Lorestan,26,7,8,11,23,33,−10,29,
12,Payam Mokhaberat,26,7,7,12,23,30,−7,28,
13,Shamoushak (R),26,6,8,12,29,37,−8,26,Relegation to 2010–11 Iran Football's 2nd Division
14,Shahin Ahvaz (R),26,1,5,20,11,58,−47,8,Relegation to 2010–11 Iran Football's 2nd Division
