Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Naft Tehran (C, P)",26,13,10,3,33,16,+17,49,Promotion to 2010–11 Persian Gulf Cup
2,Damash,26,14,6,6,38,26,+12,48,Azadegan League 2009–10 Play Off
3,Bargh Shiraz,26,14,6,6,33,23,+10,48,
4,Aluminium Hormozgan,26,10,10,6,32,33,−1,40,
5,Mes Sarcheshmeh,26,9,10,7,32,25,+7,37,
6,Shirin Faraz,26,9,10,7,30,26,+4,37,
7,Nassaji Mazandaran,26,8,10,8,27,26,+1,34,
8,Gostaresh,26,9,7,10,34,34,0,34,
9,Mehrkam Pars,26,9,5,12,22,28,−6,32,
10,Gol Gohar,26,8,6,12,30,32,−2,30,
11,Shensa,26,7,8,11,24,29,−5,29,
12,Petroshimi Tabriz,26,7,8,11,23,31,−8,29,
13,Foolad Novin (R),26,8,5,13,26,36,−10,29,Relegation to 2010–11 Iran Football's 2nd Division
14,Kowsar Lorestan (R),26,3,7,16,22,41,−19,16,Relegation to 2010–11 Iran Football's 2nd Division
