Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Padideh (C, P)",24,12,10,2,32,15,+17,46,2014–15 Iran Pro League
2,Siah Jamegan (Q),24,12,9,3,27,17,+10,45,Azadegan League 2013–14 play-off
3,Nassaji Mazandaran,24,10,7,7,27,22,+5,37,
4,Sanat Naft,24,9,8,7,24,20,+4,35,
5,Giti Pasand,24,9,8,7,29,28,+1,35,
6,Sh. Bandar Abbas,24,9,6,9,23,21,+2,33,
7,Gol Gohar,24,8,8,8,29,22,+7,32,
8,Est. Ahvaz,24,7,10,7,27,29,−2,31,
9,Niroye Zamini,24,9,4,11,25,27,−2,31,
10,Foolad Yazd,24,6,11,7,20,18,+2,29,
11,Sh. Yasouj (R),24,6,10,8,21,23,−2,28,Relegation to 2014–15 Iran Football's 2nd Division
12,Alvand Hamedan (R),24,5,7,12,23,34,−11,22,Relegation to 2014–15 Iran Football's 2nd Division
13,Gahar Zagros (R),24,2,6,16,15,46,−31,12,Relegation to 2014–15 Iran Football's 2nd Division
