Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,Paykan (P),26,14,8,4,44,26,+18,50,Promotion to 2012–13 Persian Gulf Cup
2,Iranjavan (Q),26,13,9,4,31,16,+15,48,Azadegan League 2011–12 Play Off
3,Sh. Bandar Abbas,26,10,8,8,26,27,−1,38,
4,Sh. Arak,26,9,10,7,19,17,+2,37,
5,Foolad Yazd,26,9,9,8,25,23,+2,36,
6,Aboumoslem,26,8,10,8,21,18,+3,34,
7,Etka Gorgan,26,9,7,10,21,20,+1,34,
8,Saipa Shomal,26,8,9,9,26,26,0,33,
9,Gostaresh,26,7,11,8,25,30,−5,32,
10,Steel Azin,26,10,10,6,29,22,+7,28[a],
11,Parseh Tehran,26,8,4,14,20,29,−9,28,
12,Mes Rafsanjan,26,6,8,12,22,28,−6,26,
13,Sanat Sari (R),26,7,5,14,20,34,−14,26,Relegation to 2012–13 Iran Football's 2nd Division
14,Payam Mokhaberat (R),26,5,10,11,15,28,−13,25,Relegation to 2012–13 Iran Football's 2nd Division
