Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,Damash,26,13,9,4,39,24,+15,48,Promotion to 2011–12 Persian Gulf Cup
2,Moghavemat,26,12,5,9,24,18,+6,41,Azadegan League 2010–11 Play Off
3,Sh. Yasouj,26,11,6,9,28,26,+2,39,
4,Naft Masjed Soleyman,26,8,11,7,33,32,+1,35,
5,Sh. Bandar Abbas,26,9,8,9,26,26,0,35,
6,Etka Gorgan,26,9,7,10,30,28,+2,34,
7,Gol Gohar,26,8,10,8,29,27,+2,34,
8,Tarbiat Yazd,26,6,15,5,24,22,+2,33,
9,Mes Rafsanjan,26,8,8,10,20,25,−5,32,
10,Hamyari Arak,26,8,8,10,20,28,−8,32,
11,Sanati Kaveh,26,7,10,9,27,32,−5,31,
12,Machine Sazi,26,7,10,9,30,36,−6,31,
13,Payam Mashhad (R),26,9,5,12,30,30,0,29[a],Relegation to 2011–12 Iran Football's 2nd Division
14,Foolad Natanz (R),26,6,10,10,30,36,−6,28,Relegation to 2011–12 Iran Football's 2nd Division
