Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Gol Gohar (C, P)",30,15,13,2,47,26,+21,58,Promotion to 2019–20 Persian Gulf Pro League
2,Shahin Bushehr (P),30,14,12,4,34,17,+17,54,Promotion to 2019–20 Persian Gulf Pro League
3,Gol Reyhan Alborz,30,13,9,8,30,19,+11,48,
4,Aluminium Arak,30,12,12,6,27,23,+4,48,
5,Mes Kerman,30,12,11,7,38,22,+16,47,
6,Sorkhpooshan Pakdasht,30,11,10,9,48,38,+10,43,
7,Baadraan Tehran,30,11,10,9,35,32,+3,43,
8,Qashqai,30,11,7,12,28,34,−6,40,
9,Fajr Sepasi,30,9,11,10,26,24,+2,38,
10,Mes Rafsanjan,30,9,9,12,40,42,−2,36,
11,Malavan,30,10,11,9,29,28,+1,35[a],
12,Khooneh be Khooneh,30,7,10,13,22,30,−8,31,
13,Navad Urmia,30,7,10,13,23,40,−17,31,
14,Sh. Tabriz,30,6,10,14,27,45,−18,28,
15,Karun Arvand Khorramshahr,30,6,10,14,17,36,−19,28,
16,Sh. Mahshahr (R),30,5,10,15,19,34,−15,25,Relegation to 2019–20 2nd Division
17,Siah Jamegan (E),0,0,0,0,0,0,0,0,Relegation to 2019–20 3rd Division
18,Naft Tehran (E),0,0,0,0,0,0,0,0,Relegation to 2019–20 3rd Division
